date=2026-05-22, mr20=57.3844%, u4=46, d4=19, w20=21, universe=887
date=2026-04-09, mr20=82.9379%, u4=42, d4=3, w20=22, universe=885
date=2026-04-08, mr20=86.7797%, u4=424, d4=2, w20=80, universe=885
date=2026-04-07, mr20=49.8305%, u4=33, d4=6, w20=8, universe=885
date=2026-04-06, mr20=44.9718%, u4=63, d4=3, w20=7, universe=885
date=2026-04-02, mr20=32.6554%, u4=32, d4=9, w20=4, universe=885
date=2026-04-01, mr20=28.1674%, u4=151, d4=3, w20=3, universe=884
date=2026-03-30, mr20=11.4253%, u4=7, d4=154, w20=0, universe=884
date=2026-03-27, mr20=18.573%, u4=16, d4=141, w20=3, universe=883
date=2026-03-25, mr20=32.6161%, u4=95, d4=0, w20=3, universe=883
date=2026-03-24, mr20=16.1948%, u4=126, d4=5, w20=4, universe=883
date=2026-03-23, mr20=7.8143%, u4=5, d4=318, w20=2, universe=883
date=2026-03-20, mr20=22.9898%, u4=69, d4=6, w20=5, universe=883
date=2026-03-19, mr20=14.8358%, u4=6, d4=74, w20=1, universe=883
date=2026-03-18, mr20=29.932%, u4=146, d4=1, w20=2, universe=882
date=2026-03-17, mr20=15.873%, u4=45, d4=3, w20=3, universe=882
date=2026-03-16, mr20=11.2245%, u4=23, d4=26, w20=2, universe=882
date=2026-03-13, mr20=12.1315%, u4=10, d4=134, w20=2, universe=882
date=2026-03-12, mr20=24.6311%, u4=41, d4=19, w20=5, universe=881
date=2026-03-11, mr20=22.4745%, u4=38, d4=17, w20=3, universe=881
date=2026-03-10, mr20=23.9773%, u4=105, d4=3, w20=1, universe=880
date=2026-03-09, mr20=15.7955%, u4=12, d4=125, w20=3, universe=880
date=2026-03-06, mr20=22.5256%, u4=32, d4=14, w20=1, universe=879
date=2026-03-05, mr20=22.779%, u4=45, d4=3, w20=2, universe=878
date=2026-03-04, mr20=15.0342%, u4=18, d4=101, w20=2, universe=878
date=2026-03-02, mr20=26.2258%, u4=16, d4=86, w20=1, universe=877
date=2026-02-27, mr20=39.1553%, u4=21, d4=29, w20=2, universe=876
date=2026-02-26, mr20=48.0594%, u4=32, d4=5, w20=2, universe=876
date=2026-02-25, mr20=46.4612%, u4=37, d4=10, w20=2, universe=876
date=2026-02-24, mr20=40.411%, u4=8, d4=44, w20=3, universe=876
date=2026-02-23, mr20=47.6027%, u4=28, d4=18, w20=2, universe=876
date=2026-02-20, mr20=45.3196%, u4=14, d4=11, w20=2, universe=876
date=2026-02-19, mr20=44.1781%, u4=11, d4=18, w20=2, universe=876
date=2026-02-18, mr20=57.8767%, u4=34, d4=1, w20=2, universe=876
date=2026-02-17, mr20=54.1096%, u4=50, d4=3, w20=3, universe=876
date=2026-02-16, mr20=47.032%, u4=29, d4=22, w20=7, universe=876
date=2026-02-13, mr20=47.8809%, u4=11, d4=57, w20=11, universe=873
date=2026-02-12, mr20=62.7721%, u4=28, d4=34, w20=12, universe=873
date=2026-02-11, mr20=70.9049%, u4=42, d4=23, w20=6, universe=873
date=2026-02-10, mr20=74.7995%, u4=52, d4=11, w20=9, universe=873
date=2026-02-09, mr20=73.1959%, u4=170, d4=4, w20=20, universe=873
date=2026-02-06, mr20=54.6392%, u4=31, d4=18, w20=13, universe=873
date=2026-02-05, mr20=56.5865%, u4=22, d4=27, w20=18, universe=873
date=2026-02-04, mr20=64.9485%, u4=80, d4=20, w20=25, universe=873
date=2026-02-03, mr20=57.3883%, u4=243, d4=3, w20=19, universe=873
date=2026-02-02, mr20=26.3459%, u4=39, d4=11, w20=9, universe=873
date=2026-02-01, mr20=21.4204%, u4=20, d4=62, w20=6, universe=873
date=2026-01-30, mr20=35.0515%, u4=76, d4=19, w20=6, universe=873
date=2026-01-29, mr20=26.8041%, u4=45, d4=18, w20=9, universe=873
date=2026-01-28, mr20=26.2314%, u4=121, d4=9, w20=3, universe=873
date=2026-01-27, mr20=14.4495%, u4=48, d4=29, w20=1, universe=872
date=2026-01-23, mr20=11.6972%, u4=8, d4=88, w20=0, universe=872
date=2026-01-22, mr20=18.4633%, u4=50, d4=7, w20=1, universe=872
date=2026-01-21, mr20=11.8119%, u4=21, d4=52, w20=2, universe=872
date=2026-01-20, mr20=13.0734%, u4=6, d4=179, w20=3, universe=872
date=2026-01-19, mr20=24.7706%, u4=12, d4=25, w20=5, universe=872
date=2026-01-16, mr20=30.884%, u4=32, d4=20, w20=4, universe=871
date=2026-01-14, mr20=30.0804%, u4=29, d4=7, w20=2, universe=871
date=2026-01-13, mr20=27.899%, u4=22, d4=6, w20=0, universe=871
date=2026-01-12, mr20=25.1435%, u4=20, d4=15, w20=0, universe=871
date=2026-01-09, mr20=25.1435%, u4=7, d4=38, w20=0, universe=871
date=2026-01-08, mr20=37.5862%, u4=6, d4=64, w20=0, universe=870
date=2026-01-07, mr20=57.0115%, u4=29, d4=4, w20=1, universe=870
date=2026-01-06, mr20=54.7126%, u4=21, d4=15, w20=2, universe=870
date=2026-01-05, mr20=60.069%, u4=36, d4=19, w20=3, universe=869
date=2026-01-02, mr20=64.3268%, u4=59, d4=6, w20=2, universe=869
date=2026-01-01, mr20=53.9701%, u4=32, d4=5, w20=0, universe=869
date=2025-12-31, mr20=52.4741%, u4=34, d4=3, w20=1, universe=869
date=2025-12-30, mr20=39.931%, u4=27, d4=10, w20=2, universe=869
date=2025-12-29, mr20=40.8304%, u4=14, d4=6, w20=4, universe=867
date=2025-12-26, mr20=47.8662%, u4=26, d4=7, w20=9, universe=867
date=2025-12-24, mr20=53.2872%, u4=23, d4=8, w20=6, universe=867
date=2025-12-23, mr20=57.7855%, u4=32, d4=8, w20=4, universe=867
date=2025-12-22, mr20=53.1178%, u4=68, d4=5, w20=3, universe=866
date=2025-12-19, mr20=38.6836%, u4=64, d4=3, w20=2, universe=866
date=2025-12-18, mr20=26.3584%, u4=20, d4=6, w20=3, universe=865
date=2025-12-17, mr20=26.0116%, u4=10, d4=13, w20=3, universe=865
date=2025-12-16, mr20=34.1831%, u4=17, d4=9, w20=2, universe=863
date=2025-12-15, mr20=36.9641%, u4=29, d4=3, w20=3, universe=863
date=2025-12-12, mr20=34.8432%, u4=45, d4=3, w20=3, universe=861
date=2025-12-11, mr20=26.3647%, u4=31, d4=3, w20=3, universe=861
date=2025-12-10, mr20=19.9768%, u4=10, d4=6, w20=3, universe=861
date=2025-12-09, mr20=23.1935%, u4=61, d4=4, w20=0, universe=858
date=2025-12-08, mr20=15.6177%, u4=7, d4=97, w20=0, universe=858
date=2025-12-05, mr20=26.1377%, u4=19, d4=19, w20=0, universe=857
date=2025-12-04, mr20=27.1879%, u4=11, d4=14, w20=0, universe=857
date=2025-12-03, mr20=28.3547%, u4=10, d4=12, w20=1, universe=857
date=2025-12-02, mr20=32.5554%, u4=13, d4=6, w20=2, universe=857
date=2025-12-01, mr20=36.014%, u4=20, d4=10, w20=1, universe=858
date=2025-11-28, mr20=37.3396%, u4=21, d4=4, w20=0, universe=857
date=2025-11-27, mr20=38.0397%, u4=13, d4=6, w20=1, universe=857
date=2025-11-26, mr20=39.4399%, u4=46, d4=2, w20=2, universe=857
date=2025-11-25, mr20=28.6215%, u4=30, d4=1, w20=3, universe=856
date=2025-11-24, mr20=28.238%, u4=22, d4=47, w20=2, universe=857
date=2025-11-21, mr20=30.6433%, u4=7, d4=23, w20=2, universe=855
date=2025-11-20, mr20=40.5848%, u4=22, d4=7, w20=5, universe=855
date=2025-11-19, mr20=41.9204%, u4=27, d4=13, w20=5, universe=854
date=2025-11-18, mr20=41.1489%, u4=9, d4=8, w20=7, universe=853
date=2025-11-17, mr20=51.4085%, u4=44, d4=7, w20=7, universe=852
date=2025-11-14, mr20=45.3584%, u4=41, d4=6, w20=11, universe=851
date=2025-11-13, mr20=44.5882%, u4=34, d4=14, w20=9, universe=850
date=2025-11-12, mr20=46.8235%, u4=47, d4=9, w20=5, universe=850
date=2025-11-11, mr20=38.8693%, u4=36, d4=22, w20=5, universe=849
date=2025-11-10, mr20=38.7059%, u4=35, d4=33, w20=7, universe=850
date=2025-11-07, mr20=37.8538%, u4=26, d4=19, w20=6, universe=848
date=2025-11-06, mr20=35.6553%, u4=19, d4=67, w20=7, universe=847
date=2025-11-04, mr20=49.2326%, u4=15, d4=13, w20=8, universe=847
date=2025-11-03, mr20=58.8443%, u4=56, d4=10, w20=10, universe=848
date=2025-10-31, mr20=50.7674%, u4=24, d4=13, w20=4, universe=847
date=2025-10-30, mr20=59.5995%, u4=22, d4=5, w20=0, universe=849
date=2025-10-29, mr20=62.5442%, u4=38, d4=9, w20=3, universe=849
date=2025-10-28, mr20=53.5925%, u4=37, d4=7, w20=4, universe=849
date=2025-10-27, mr20=53.8824%, u4=37, d4=6, w20=4, universe=850
date=2025-10-24, mr20=49.6471%, u4=19, d4=0, w20=3, universe=850
date=2025-10-23, mr20=53.0588%, u4=25, d4=29, w20=3, universe=850
date=2025-10-21, mr20=57.7647%, u4=4, d4=0, w20=7, universe=850
date=2025-10-20, mr20=49.2941%, u4=47, d4=10, w20=2, universe=850
date=2025-10-17, mr20=45.0588%, u4=15, d4=18, w20=3, universe=850
date=2025-10-16, mr20=50.5882%, u4=32, d4=7, w20=4, universe=850
date=2025-10-15, mr20=43.1095%, u4=47, d4=2, w20=3, universe=849
date=2025-10-14, mr20=34.1578%, u4=14, d4=15, w20=5, universe=849
date=2025-10-13, mr20=43.6836%, u4=14, d4=7, w20=2, universe=847
date=2025-10-10, mr20=51.8343%, u4=34, d4=5, w20=4, universe=845
date=2025-10-09, mr20=46.09%, u4=36, d4=10, w20=8, universe=844
date=2025-10-08, mr20=40.8768%, u4=18, d4=6, w20=5, universe=844
date=2025-10-07, mr20=48.0427%, u4=26, d4=9, w20=5, universe=843
date=2025-10-06, mr20=47.5118%, u4=30, d4=4, w20=4, universe=844
date=2025-10-03, mr20=45.4869%, u4=62, d4=3, w20=3, universe=842
date=2025-10-01, mr20=35.3919%, u4=57, d4=0, w20=3, universe=842
date=2025-09-30, mr20=25.119%, u4=15, d4=7, w20=2, universe=840
date=2025-09-29, mr20=22.9391%, u4=29, d4=24, w20=2, universe=837
date=2025-09-26, mr20=21.5569%, u4=2, d4=55, w20=1, universe=835
date=2025-09-25, mr20=38.2953%, u4=7, d4=8, w20=1, universe=833
date=2025-09-24, mr20=47.1789%, u4=19, d4=10, w20=2, universe=833
date=2025-09-23, mr20=55.102%, u4=21, d4=6, w20=5, universe=833
date=2025-09-22, mr20=59.2326%, u4=24, d4=8, w20=7, universe=834
date=2025-09-19, mr20=71.0684%, u4=35, d4=6, w20=4, universe=833
date=2025-09-18, mr20=73.3493%, u4=21, d4=5, w20=4, universe=833
date=2025-09-17, mr20=74.4298%, u4=35, d4=0, w20=4, universe=833
date=2025-09-16, mr20=70.5174%, u4=29, d4=3, w20=4, universe=831
date=2025-09-15, mr20=67.9087%, u4=33, d4=4, w20=1, universe=832
date=2025-09-12, mr20=61.4922%, u4=29, d4=2, w20=5, universe=831
date=2025-09-11, mr20=61.3253%, u4=23, d4=4, w20=5, universe=830
date=2025-09-10, mr20=60.6024%, u4=47, d4=7, w20=5, universe=830
date=2025-09-09, mr20=50.241%, u4=24, d4=4, w20=8, universe=830
date=2025-09-08, mr20=48.1348%, u4=38, d4=7, w20=13, universe=831
date=2025-09-05, mr20=44.9398%, u4=31, d4=2, w20=10, universe=830
date=2025-09-04, mr20=45.4874%, u4=21, d4=6, w20=7, universe=831
date=2025-09-03, mr20=53.8554%, u4=65, d4=4, w20=5, universe=830
date=2025-09-02, mr20=47.0446%, u4=53, d4=6, w20=2, universe=829
date=2025-09-01, mr20=39.9276%, u4=67, d4=1, w20=1, universe=829
date=2025-08-29, mr20=26.7793%, u4=19, d4=3, w20=1, universe=829
date=2025-08-28, mr20=27.6236%, u4=8, d4=16, w20=0, universe=829
date=2025-08-26, mr20=33.8963%, u4=7, d4=27, w20=4, universe=829
date=2025-08-25, mr20=49.5768%, u4=23, d4=9, w20=5, universe=827
date=2025-08-22, mr20=48.1258%, u4=23, d4=4, w20=4, universe=827
date=2025-08-21, mr20=53.8089%, u4=24, d4=3, w20=4, universe=827
date=2025-08-20, mr20=52.9625%, u4=38, d4=5, w20=7, universe=827
date=2025-08-19, mr20=51.3317%, u4=60, d4=2, w20=6, universe=826
date=2025-08-18, mr20=42.0097%, u4=77, d4=5, w20=7, universe=826
date=2025-08-14, mr20=30.2663%, u4=17, d4=25, w20=7, universe=826
date=2025-08-13, mr20=32.8485%, u4=51, d4=13, w20=5, universe=825
date=2025-08-12, mr20=27.3939%, u4=27, d4=16, w20=3, universe=825
date=2025-08-11, mr20=25.3333%, u4=43, d4=20, w20=2, universe=825
date=2025-08-08, mr20=21.1165%, u4=20, d4=23, w20=3, universe=824
date=2025-08-07, mr20=26.0922%, u4=30, d4=10, w20=2, universe=824
date=2025-08-06, mr20=25.4854%, u4=12, d4=32, w20=3, universe=824
date=2025-08-05, mr20=31.068%, u4=22, d4=12, w20=5, universe=824
date=2025-08-04, mr20=29.6837%, u4=48, d4=10, w20=7, universe=822
date=2025-08-01, mr20=23.1144%, u4=12, d4=39, w20=3, universe=822
date=2025-07-31, mr20=29.9635%, u4=21, d4=27, w20=4, universe=821
date=2025-07-30, mr20=36.0536%, u4=37, d4=11, w20=4, universe=821
date=2025-07-29, mr20=31.5854%, u4=54, d4=6, w20=5, universe=820
date=2025-07-28, mr20=23.7805%, u4=20, d4=50, w20=2, universe=820
date=2025-07-25, mr20=31.9512%, u4=8, d4=55, w20=4, universe=820
date=2025-07-24, mr20=49.2683%, u4=26, d4=14, w20=5, universe=820
date=2025-07-23, mr20=53.4146%, u4=22, d4=11, w20=6, universe=820
date=2025-07-22, mr20=51.8293%, u4=18, d4=10, w20=4, universe=820
date=2025-07-21, mr20=57.7534%, u4=19, d4=11, w20=5, universe=819
date=2025-07-18, mr20=59.291%, u4=16, d4=8, w20=5, universe=818
date=2025-07-17, mr20=68.5819%, u4=26, d4=4, w20=5, universe=818
date=2025-07-16, mr20=68.9487%, u4=28, d4=2, w20=6, universe=818
date=2025-07-15, mr20=66.8704%, u4=40, d4=3, w20=5, universe=818
date=2025-07-14, mr20=52.934%, u4=32, d4=5, w20=7, universe=818
date=2025-07-11, mr20=49.9388%, u4=17, d4=6, w20=4, universe=817
date=2025-07-10, mr20=60.5875%, u4=27, d4=1, w20=6, universe=817
date=2025-07-09, mr20=61.4443%, u4=34, d4=0, w20=5, universe=817
date=2025-07-08, mr20=60.5875%, u4=26, d4=4, w20=3, universe=817
date=2025-07-07, mr20=62.6683%, u4=18, d4=7, w20=5, universe=817
date=2025-07-04, mr20=69.5226%, u4=20, d4=6, w20=5, universe=817
date=2025-07-03, mr20=68.6659%, u4=34, d4=2, w20=7, universe=817
date=2025-07-02, mr20=66.4627%, u4=17, d4=7, w20=6, universe=817
date=2025-07-01, mr20=71.5337%, u4=20, d4=12, w20=14, universe=815
date=2025-06-30, mr20=75.7389%, u4=45, d4=5, w20=16, universe=812
date=2025-06-27, mr20=73.5222%, u4=46, d4=6, w20=14, universe=812
date=2025-06-26, mr20=69.335%, u4=26, d4=3, w20=8, universe=812
date=2025-06-25, mr20=69.0887%, u4=71, d4=4, w20=6, universe=812
date=2025-06-24, mr20=54.5006%, u4=46, d4=6, w20=1, universe=811
date=2025-06-23, mr20=44.2663%, u4=28, d4=4, w20=1, universe=811
date=2025-06-20, mr20=41.0604%, u4=46, d4=8, w20=2, universe=811
date=2025-06-19, mr20=32.3457%, u4=5, d4=32, w20=2, universe=810
date=2025-06-18, mr20=47.7132%, u4=21, d4=5, w20=1, universe=809
date=2025-06-17, mr20=51.1743%, u4=17, d4=9, w20=1, universe=809
date=2025-06-16, mr20=62.4227%, u4=32, d4=2, w20=1, universe=809
date=2025-06-13, mr20=60.6922%, u4=20, d4=6, w20=5, universe=809
date=2025-06-12, mr20=68.8504%, u4=17, d4=12, w20=7, universe=809
date=2025-06-11, mr20=82.2002%, u4=44, d4=8, w20=8, universe=809
date=2025-06-10, mr20=83.1891%, u4=39, d4=2, w20=8, universe=809
date=2025-06-09, mr20=83.9308%, u4=60, d4=2, w20=3, universe=809
date=2025-06-06, mr20=76.885%, u4=53, d4=8, w20=7, universe=809
date=2025-06-05, mr20=74.2892%, u4=53, d4=2, w20=6, universe=809
date=2025-06-04, mr20=71.9407%, u4=48, d4=4, w20=4, universe=809
date=2025-06-03, mr20=69.4685%, u4=19, d4=5, w20=6, universe=809
date=2025-06-02, mr20=74.7525%, u4=46, d4=15, w20=7, universe=808
date=2025-05-30, mr20=73.9454%, u4=54, d4=22, w20=12, universe=806
date=2025-05-29, mr20=75.4342%, u4=41, d4=4, w20=14, universe=806
date=2025-05-28, mr20=76.4268%, u4=36, d4=10, w20=11, universe=806
date=2025-05-27, mr20=79.6273%, u4=30, d4=12, w20=14, universe=805
date=2025-05-26, mr20=82.236%, u4=48, d4=9, w20=5, universe=805
date=2025-05-23, mr20=82.236%, u4=42, d4=7, w20=6, universe=805
date=2025-05-22, mr20=79.7264%, u4=37, d4=10, w20=7, universe=804
date=2025-05-21, mr20=83.3333%, u4=41, d4=10, w20=5, universe=804
date=2025-05-20, mr20=82.2139%, u4=22, d4=14, w20=14, universe=804
date=2025-05-19, mr20=89.1791%, u4=63, d4=10, w20=32, universe=804
date=2025-05-16, mr20=89.1791%, u4=81, d4=11, w20=72, universe=804
date=2025-05-15, mr20=87.9353%, u4=60, d4=13, w20=43, universe=804
date=2025-05-14, mr20=86.6915%, u4=80, d4=2, w20=22, universe=804
date=2025-05-13, mr20=81.0945%, u4=70, d4=5, w20=17, universe=804
date=2025-05-12, mr20=78.2338%, u4=335, d4=1, w20=6, universe=804
date=2025-05-09, mr20=32.2139%, u4=28, d4=19, w20=5, universe=804
date=2025-05-08, mr20=35.6965%, u4=19, d4=16, w20=1, universe=804
date=2025-05-07, mr20=44.403%, u4=44, d4=6, w20=2, universe=804
date=2025-05-06, mr20=37.6866%, u4=5, d4=109, w20=1, universe=804
date=2025-05-05, mr20=59.4022%, u4=70, d4=3, w20=6, universe=803
date=2025-05-02, mr20=44.9564%, u4=23, d4=13, w20=2, universe=803
date=2025-04-30, mr20=48.3188%, u4=13, d4=45, w20=3, universe=803
date=2025-04-29, mr20=65.3798%, u4=29, d4=8, w20=4, universe=803
date=2025-04-28, mr20=67.995%, u4=34, d4=12, w20=4, universe=803
date=2025-04-25, mr20=65.5044%, u4=8, d4=128, w20=2, universe=803
date=2025-04-24, mr20=89.2902%, u4=30, d4=6, w20=5, universe=803
date=2025-04-23, mr20=90.0374%, u4=48, d4=5, w20=11, universe=803
date=2025-04-22, mr20=89.7883%, u4=48, d4=6, w20=21, universe=803
date=2025-04-21, mr20=88.9166%, u4=94, d4=6, w20=45, universe=803
date=2025-04-17, mr20=82.1918%, u4=40, d4=5, w20=15, universe=803
date=2025-04-16, mr20=82.0672%, u4=60, d4=4, w20=29, universe=803
date=2025-04-15, mr20=76.4633%, u4=183, d4=0, w20=2, universe=803
date=2025-04-11, mr20=48.6924%, u4=177, d4=0, w20=0, universe=803
date=2025-04-09, mr20=26.6501%, u4=11, d4=32, w20=0, universe=803
date=2025-04-08, mr20=29.9252%, u4=61, d4=5, w20=0, universe=802
date=2025-04-07, mr20=15.8354%, u4=0, d4=292, w20=1, universe=802
date=2025-04-04, mr20=41.6459%, u4=4, d4=200, w20=4, universe=802
date=2025-04-03, mr20=73.5661%, u4=63, d4=17, w20=5, universe=802
date=2025-04-02, mr20=68.7032%, u4=43, d4=4, w20=3, universe=802
date=2025-04-01, mr20=60.3491%, u4=56, d4=15, w20=2, universe=802
date=2025-03-28, mr20=57.1072%, u4=16, d4=4, w20=2, universe=802
date=2025-03-27, mr20=63.3416%, u4=67, d4=19, w20=4, universe=802
date=2025-03-26, mr20=58.4788%, u4=13, d4=31, w20=5, universe=802
date=2025-03-25, mr20=71.197%, u4=11, d4=60, w20=15, universe=802
date=2025-03-24, mr20=84.5387%, u4=63, d4=2, w20=61, universe=802
date=2025-03-21, mr20=79.4264%, u4=118, d4=7, w20=28, universe=802
date=2025-03-20, mr20=66.4589%, u4=45, d4=4, w20=5, universe=802
date=2025-03-19, mr20=63.4663%, u4=131, d4=1, w20=6, universe=802
date=2025-03-18, mr20=42.394%, u4=156, d4=2, w20=3, universe=802
date=2025-03-17, mr20=26.1845%, u4=25, d4=26, w20=0, universe=802
date=2025-03-13, mr20=20.8229%, u4=10, d4=14, w20=0, universe=802
date=2025-03-12, mr20=23.5661%, u4=14, d4=17, w20=2, universe=802
date=2025-03-11, mr20=25.187%, u4=18, d4=24, w20=6, universe=802
date=2025-03-10, mr20=26.1845%, u4=6, d4=74, w20=7, universe=802
date=2025-03-07, mr20=40.0249%, u4=59, d4=4, w20=11, universe=802
date=2025-03-06, mr20=33.4165%, u4=71, d4=2, w20=4, universe=802
date=2025-03-05, mr20=24.0648%, u4=142, d4=0, w20=1, universe=802
date=2025-03-04, mr20=10.3491%, u4=49, d4=10, w20=1, universe=802
date=2025-03-03, mr20=7.4813%, u4=18, d4=66, w20=0, universe=802
date=2025-02-28, mr20=7.8554%, u4=12, d4=195, w20=0, universe=802
date=2025-02-27, mr20=11.8454%, u4=13, d4=99, w20=2, universe=802
date=2025-02-25, mr20=13.0923%, u4=20, d4=13, w20=5, universe=802
date=2025-02-24, mr20=13.9651%, u4=12, d4=26, w20=3, universe=802
date=2025-02-21, mr20=17.4782%, u4=26, d4=18, w20=4, universe=801
date=2025-02-20, mr20=19.4757%, u4=60, d4=4, w20=4, universe=801
date=2025-02-19, mr20=12.7341%, u4=122, d4=10, w20=3, universe=801
date=2025-02-18, mr20=7.125%, u4=12, d4=61, w20=3, universe=800
date=2025-02-17, mr20=7%, u4=22, d4=51, w20=1, universe=800
date=2025-02-14, mr20=5.75%, u4=6, d4=212, w20=1, universe=800
date=2025-02-13, mr20=11.625%, u4=23, d4=14, w20=1, universe=800
date=2025-02-12, mr20=11.5%, u4=33, d4=43, w20=1, universe=800
date=2025-02-11, mr20=8.5%, u4=5, d4=219, w20=2, universe=800
date=2025-02-10, mr20=21.75%, u4=8, d4=79, w20=3, universe=800
date=2025-02-07, mr20=38.875%, u4=18, d4=23, w20=3, universe=800
date=2025-02-06, mr20=43.179%, u4=30, d4=15, w20=3, universe=799
date=2025-02-05, mr20=44.2356%, u4=68, d4=4, w20=5, universe=798
date=2025-02-04, mr20=35.8846%, u4=63, d4=10, w20=6, universe=797
date=2025-02-03, mr20=25.9724%, u4=25, d4=93, w20=19, universe=797
date=2025-02-01, mr20=34.128%, u4=71, d4=38, w20=8, universe=797
date=2025-01-31, mr20=30.6148%, u4=92, d4=9, w20=3, universe=797
date=2025-01-30, mr20=19.0715%, u4=43, d4=23, w20=1, universe=797
date=2025-01-29, mr20=15.8093%, u4=66, d4=18, w20=0, universe=797
date=2025-01-28, mr20=6.6583%, u4=24, d4=86, w20=0, universe=796
date=2025-01-27, mr20=6.2814%, u4=4, d4=269, w20=0, universe=796
date=2025-01-24, mr20=13.8191%, u4=6, d4=66, w20=1, universe=796
date=2025-01-23, mr20=21.8868%, u4=38, d4=12, w20=0, universe=795
date=2025-01-22, mr20=16.3728%, u4=7, d4=71, w20=2, universe=794
date=2025-01-21, mr20=19.5214%, u4=5, d4=55, w20=3, universe=794
date=2025-01-20, mr20=32.4937%, u4=62, d4=12, w20=12, universe=794
date=2025-01-17, mr20=22.5725%, u4=33, d4=8, w20=3, universe=793
date=2025-01-16, mr20=19.546%, u4=67, d4=5, w20=1, universe=793
date=2025-01-15, mr20=11.6015%, u4=32, d4=7, w20=1, universe=793
date=2025-01-14, mr20=11.4754%, u4=81, d4=11, w20=1, universe=793
date=2025-01-13, mr20=6.5574%, u4=4, d4=323, w20=1, universe=793
date=2025-01-10, mr20=15.404%, u4=6, d4=117, w20=1, universe=792
date=2025-01-09, mr20=26.1364%, u4=13, d4=18, w20=2, universe=792
date=2025-01-08, mr20=31.5657%, u4=18, d4=15, w20=4, universe=792
date=2025-01-07, mr20=37.5%, u4=59, d4=4, w20=8, universe=792
date=2025-01-06, mr20=25.2207%, u4=8, d4=216, w20=3, universe=793
date=2025-01-03, mr20=52.1465%, u4=30, d4=4, w20=6, universe=792
date=2025-01-02, mr20=53.0303%, u4=55, d4=3, w20=5, universe=792
date=2025-01-01, mr20=44.4444%, u4=59, d4=4, w20=4, universe=792
date=2024-12-31, mr20=34.8485%, u4=32, d4=2, w20=4, universe=792
date=2024-12-30, mr20=29.8865%, u4=42, d4=42, w20=2, universe=793
date=2024-12-27, mr20=29.2035%, u4=27, d4=5, w20=3, universe=791
date=2024-12-26, mr20=27.2497%, u4=22, d4=10, w20=4, universe=789
date=2024-12-24, mr20=29.0241%, u4=30, d4=2, w20=3, universe=789
date=2024-12-23, mr20=27.3418%, u4=17, d4=17, w20=2, universe=790
date=2024-12-20, mr20=26.8695%, u4=10, d4=75, w20=2, universe=789
date=2024-12-19, mr20=43.6548%, u4=23, d4=9, w20=3, universe=788
date=2024-12-18, mr20=46.3787%, u4=19, d4=12, w20=4, universe=787
date=2024-12-17, mr20=56.5051%, u4=29, d4=5, w20=5, universe=784
date=2024-12-16, mr20=66.3694%, u4=47, d4=2, w20=5, universe=785
date=2024-12-13, mr20=64.6684%, u4=21, d4=1, w20=6, universe=784
date=2024-12-12, mr20=69.7704%, u4=17, d4=14, w20=4, universe=784
date=2024-12-11, mr20=78.8535%, u4=37, d4=1, w20=4, universe=785
date=2024-12-10, mr20=79.1083%, u4=44, d4=7, w20=8, universe=785
